,0,1
0,num_overvoltages,0
1,max_voltage,1.0374410519902009
2,num_undervoltages,1
3,min_voltage,0.942258797127963
4,num_line_overloads,0
5,max_line_loading,0.9416
6,num_xfmr_overloads,7
7,max_xfmr_overload,1.9819
8,num_unloaded_xfmrs,0
9,num_unloaded_lines,7
10,connectivity_flag,True
11,isolated,[]
12,num_nodes,546
13,num_loads,839
14,num_lines,130
15,num_transformers,74
16,num_pv_systems,25
17,num_capacitors,2
18,num_regulators,1
19,source_bus,233160_src
20,feeder_head_name,feeder_14_06
21,feeder_head_basekv,4.8
22,source_num_nodes,3
23,total_num_buses_in_circuit,204
24,substation_xfmr,"{'name': 'trans_233160_reg', 'phases': 3, 'windings': 2, 'wdg': 2, 'bus': '233160_dummy.1.2.3', 'conn': 'wye', 'kV': 4.8, 'kVA': 100000.0, 'tap': 1.0375, '%R': 0.2, 'Rneut': -1.0, 'Xneut': 0.0, 'buses': ['233160_src.1.2.3', '233160_dummy.1.2.3'], 'conns': ['delta', 'wye'], 'kVs': [4.8, 4.8], 'kVAs': [100000.0, 100000.0], 'taps': [1.0, 1.0375], 'XHL': 0.1, 'XHT': 35.0, 'XLT': 30.0, 'Xscarray': [0.1], 'thermal': '2', 'n': 0.8, 'm': 0.8, 'flrise': 65.0, 'hsrise': 15.0, '%loadloss': 0.4, '%noloadloss': 0.0, 'normhkVA': 110000.0, 'emerghkVA': 150000.0, 'sub': 'No', 'MaxTap': 1.1, 'MinTap': 0.9, 'NumTaps': 32.0, 'subname': '', '%imag': 0.0, 'ppm_antifloat': 1.0, '%Rs': [0.2, 0.2], 'bank': '', 'XfmrCode': '', 'XRConst': 'No', 'X12': 0.1, 'X13': 35.0, 'X23': 30.0, 'LeadLag': 'Lag', 'WdgCurrents': '103.2083, (-47.786), 172.2964, (132.22), 94.69568, (-168.26), 158.0849, (11.744), 98.5216, (76.281), 164.4728, (-103.72), ', 'Core': 'shell', 'RdcOhms': 0.00013056, 'Seasons': '1', 'Ratings': ['1100'], 'normamps': 13230.9436689289, 'emergamps': 18042.1959121758, 'faultrate': 0.007, 'pctperm': 0.0, 'repair': 0.0, 'basefreq': 60.0, 'enabled': 'Yes', 'like': '', 'equipment_type': 'transformer', 'bus_names_only': ['233160_src', '233160_dummy'], 'amp_limit_per_phase': 12028.130608117204, 'substation_xfmr_flag': 1, 'is_autotransformer_flag': True}"
25,total_load(kVABase),1755.7753892085088
26,total_load(kW),1698.334464883536
27,total_PV(kW),0.0
28,total_PV(kVARated),252.96480000000005
29,pass_flag,False
